source_url,title,category,document_type,content_type,file_path,parent_url,parent_title,anchor_text,text,text_length,linked_documents_count,ocr_required,processing_status,keep,reason,quality_flag,hash
https://www.mpr.gov.ba/en/menu/menu_cmk0hrq1d001ak03uyqviovsa,Ministry,ostalo,html,text/html; charset=utf-8,,https://www.mpr.gov.ba/en,Ministry of Justice of Bosnia and Herzegovina,Ministry,Hrvatski Bosanski Српски English EN Ministry of Justice of Bosnia and Herzegovina Ministry of Justice of Bosnia and Herzegovina Hrvatski Bosanski Српски English EN Ministry Areas of work Laws/Contracts Projects/Strategies Publications/Manuals Tenders/Public announcements Info/Access to information Home | Ministry Ministry Jurisdictions Organization and contacts Internal Work program of the Ministry of Justice of Bosnia and Herzegovina Report on the work of the Ministry of Justice of Bosnia and Herzegovina Annual report on budget execution,544,0,False,text_extracted,False,not_relevant_enough,unknown_review_needed,73427b54a365414dc0469473518fcbe4
https://www.mpr.gov.ba/en/menu/menu_cmk0ht82s001mk03ufuzhvi6h,Laws/Contracts,ostalo,html,text/html; charset=utf-8,,https://www.mpr.gov.ba/en,Ministry of Justice of Bosnia and Herzegovina,Laws/Contracts,Hrvatski Bosanski Српски English EN Ministry of Justice of Bosnia and Herzegovina Ministry of Justice of Bosnia and Herzegovina Hrvatski Bosanski Српски English EN Ministry Areas of work Laws/Contracts Projects/Strategies Publications/Manuals Tenders/Public announcements Info/Access to information Home | Laws/Contracts Laws/Contracts Laws and other regulations International treaties and conventions Public consultations Uniform rules for drafting legal regulations in the institutions of BiH,494,0,False,text_extracted,False,not_relevant_enough,unknown_review_needed,0fd2fa5589deecbdb46920dfb3680b53
https://www.mpr.gov.ba/en/menu/menu_cmk0hsi9h001gk03ueg0penph,Areas of work,ostalo,html,text/html; charset=utf-8,,https://www.mpr.gov.ba/en,Ministry of Justice of Bosnia and Herzegovina,Areas of work,"Hrvatski Bosanski Српски English EN Ministry of Justice of Bosnia and Herzegovina Ministry of Justice of Bosnia and Herzegovina Hrvatski Bosanski Српски English EN Ministry Areas of work Laws/Contracts Projects/Strategies Publications/Manuals Tenders/Public announcements Info/Access to information Home | Areas of work Areas of work Judiciary Execution of punitive countermeasures International legal assistance and cooperation Administration Administrative inspection Strategic planning, aid coordination and European integration Civil society Free legal aid",560,0,False,text_extracted,False,not_relevant_enough,unknown_review_needed,b274aeb49c8c14c8bea7102a3386bbf1
https://www.mpr.gov.ba/en/menu/menu_cmk0hu0a0001sk03ujyqx5ej8,Projects/Strategies,ostalo,html,text/html; charset=utf-8,,https://www.mpr.gov.ba/en,Ministry of Justice of Bosnia and Herzegovina,Projects/Strategies,Hrvatski Bosanski Српски English EN Ministry of Justice of Bosnia and Herzegovina Ministry of Justice of Bosnia and Herzegovina Hrvatski Bosanski Српски English EN Ministry Areas of work Laws/Contracts Projects/Strategies Publications/Manuals Tenders/Public announcements Info/Access to information Home | Projects/Strategies Projects/Strategies Revised state strategy for working on war crimes cases Strategy of the Council of Ministers of BiH for creating an enabling environment for the development Justice Sector Reform Strategy Other strategies and projects Institutional strategy,585,0,False,text_extracted,False,not_relevant_enough,unknown_review_needed,3d7159bd0130117341abb5d2a9ac9fd9
https://www.mpr.gov.ba/en/menu/menu_cmk0hx0bt002ak03um9i9mt6e,Info/Access to information,ostalo,html,text/html; charset=utf-8,,https://www.mpr.gov.ba/en,Ministry of Justice of Bosnia and Herzegovina,Info/Access to information,Info/Access to information - News - Law on Freedom of Access to Information in Bosnia and Herzegovina - Information Access Guide - Regulations on the content and manner of maintaining the register of requests for access to informat - Duplication costs according to FOIA - Reports on actions under the FOIA at the level of BiH institutions - Complaints and reports of corrupt behavior in the Ministry of Justice of Bosnia and Herzegovina - EU4Justice - Questions regarding the application of the law and attitudes - Bulletin board - Transparency,544,0,False,text_extracted,False,not_relevant_enough,unknown_review_needed,2bbc451947d949028a3570c11e4e2b97
https://www.mpr.gov.ba/en/menu/menu_cmk0hvhe7001yk03ult6lo8pz,Publications/Manuals,ostalo,html,text/html; charset=utf-8,,https://www.mpr.gov.ba/en,Ministry of Justice of Bosnia and Herzegovina,Publications/Manuals,Hrvatski Bosanski Српски English EN Ministry of Justice of Bosnia and Herzegovina Ministry of Justice of Bosnia and Herzegovina Hrvatski Bosanski Српски English EN Ministry Areas of work Laws/Contracts Projects/Strategies Publications/Manuals Tenders/Public announcements Info/Access to information Home | Publications/Manuals Publications/Manuals Publications Professional literature,384,0,False,text_extracted,False,not_relevant_enough,unknown_review_needed,eb3b0b5dd6caaee5694e087ba6666e2c
https://mpr.gov.ba/en/organization-and-contacts89,Organization and contacts,ostalo,html,text/html; charset=utf-8,,https://www.mpr.gov.ba/en,Ministry of Justice of Bosnia and Herzegovina,Organization and contacts,"Organization and contacts Tihana Lolić, Assistant Minister Address: Dubrovačka 6, objekt B, V kat, 71000 Sarajevo, Bosna i Hercegovina Phone: + 387 33 72 16 62 Fax: + 387 33 72 16 61 E-mail: tihana.lolic@mpr.gov.ba Jurisdictions development, coordination and monitoring of the implementation of the Ministry's policies, strategies and plans, data collection, research and analysis to inform the Ministry's policy and strategy, planning and development of aid programs of the European Union and other donors for the needs of the Ministry, coordinating the assistance programs of the European Union and other donors for the justice sector in BiH, maintaining a database of donors and donor assistance for the justice sector in BiH, coordinating the implementation of strategies and policies of European integration within the competence of the Ministry, harmonizing the legal system of BiH with the acquis, for issues within the competence of the Ministry, translation of the acquis, from the competence of the Ministry, coordinating the implementation of the Uniform Rules for Drafting Legal Regulations in the institutions of Bosnia and Herzegovina, coordinating the implementation of the Rules for Consultations in the Drafting of Legal Regulations. Department for Strategic Planning and Aid Coordination Toni Šantić, Head of Department Phone: + 387 33 72 16 67 Fax: + 387 33 72 16 61 E-mail: toni.santic@mpr.gov.ba Department for European Integration Mr.Sc.Iur. Selma Džihanović Gratz, Head of Department Phone: + 387 33 72 16 68 Fax: + 387 33 72 16 61 E-mail: selma.dzihanovic@mpr.gov.ba",1590,0,False,text_extracted,False,not_relevant_enough,unknown_review_needed,8e2c9a719cbac75caaec14f2f7672b38
https://mpr.gov.ba/en/nvo,NVO,ostalo,html,text/html; charset=utf-8,,https://www.mpr.gov.ba/en,Ministry of Justice of Bosnia and Herzegovina,NVO,Hrvatski Bosanski Српски English EN Ministry of Justice of Bosnia and Herzegovina Ministry of Justice of Bosnia and Herzegovina Hrvatski Bosanski Српски English EN Ministry Areas of work Laws/Contracts Projects/Strategies Publications/Manuals Tenders/Public announcements Info/Access to information NVO Select,309,0,False,text_extracted,False,not_relevant_enough,unknown_review_needed,771916493091cf025bb9bca588547dc5
https://mpr.gov.ba/en/ogp,OGP,ostalo,html,text/html; charset=utf-8,,https://www.mpr.gov.ba/en,Ministry of Justice of Bosnia and Herzegovina,OGP,Hrvatski Bosanski Српски English EN Ministry of Justice of Bosnia and Herzegovina Ministry of Justice of Bosnia and Herzegovina Hrvatski Bosanski Српски English EN Ministry Areas of work Laws/Contracts Projects/Strategies Publications/Manuals Tenders/Public announcements Info/Access to information OGP Odaberite,312,0,False,text_extracted,False,not_relevant_enough,unknown_review_needed,a80352bc0572c458f3fa80cc521008f9
https://mpr.gov.ba/en/reload,ReLOaD,ostalo,html,text/html; charset=utf-8,,https://www.mpr.gov.ba/en,Ministry of Justice of Bosnia and Herzegovina,ReLOaD,"ReLOaD About the ReLOaD project The Regional Program of Local Democracy in the Western Balkans (ReLOaD) is a three-year project (February 2017-February 2020), financed by the European Union (EU), and implemented by the United Nations Development Program (UNDP). ReLOaD is based on the positive experiences of the Strengthening of Local Democracy (LOD) project, which was implemented in Bosnia and Herzegovina by UNDP, with financial support from the EU, and which serves as an example of good practice that is now used as a model throughout the Western Balkans. As a regional initiative, the ReLOaD project is implemented in Albania, the Republic of North Macedonia, Bosnia and Herzegovina, Montenegro, Kosovo* and Serbia. Given its regional presence, ReLOaD will function as a platform for networking the countries/territories of the Western Balkans, and for the exchange of experiences and lessons learned related to better provision of services to citizens. The goal of the ReLOaD project is to strengthen partnerships between local authorities and civil society in the Western Balkans, by expanding the successful model of transparent project financing of civil society organizations from municipal budgets, aimed at greater citizen participation in decision-making processes and improving the level of service provision in local communities. ReLOaD will improve the financial mechanisms through which municipalities, financed by civil society organizations, will implement priority activities for local development, in cooperation with civil society organizations. In this way, the ReLOaD project, in partnership with local authorities throughout the Western Balkans, will contribute to increasing the involvement of civil society in decision-making processes and improving the level of service provision to citizens. In Bosnia and Herzegovina, the ReLOaD project cooperates with 21 local self-government units: Banja Luka, Bratunac, Bijeljina, Brod, Centar, Sarajevo, Gradačac, Jablanica, Kakanj, Maglaj, Modriča, Pale, Rudo, Sokolac, Stari Grad, Sarajevo, Teslić, Tešanj, Travnik, Trebinje, Tuzla, Vitez, Vogošća In these local self-government units, ReLOaD will focus its activities on working with representatives of the municipal administration, municipal councils and civil society organizations, and improving their capacities to improve cooperation between local authorities and civil society organizations. In local self-government units in Bosnia and Herzegovina that have already adopted a legal framework for the transparent allocation of funds for projects of civil society organizations, ReLOaD will work on its more intensive implementation and ensuring the sustainability of such a system. In local self-government units that do not already have an adopted legal framework, the ReLOaD project will work on its adoption and its implementation in Bosnia and Herzegovina. Selected partner municipalities and cities undertake to transparently finance projects of public interest, which will be implemented by civil society organizations, with the aim of improving living conditions for all citizens. In selected municipalities and cities, the ReLOaD project will support the implementation of 80 projects of civil society organizations, and it is expected that about 20,000 citizens in Bosnia and Herzegovina will benefit from these projects.Special attention will be devoted to projects that provide social services for the most vulnerable categories of society, projects that work to improve gender equality and environmental protection, and projects that deal with human rights issues. The essence of the ReLOaD project is the application of transparent, project-based financing of civil society organizations' projects that are based on local strategic documents and that are focused on citizens and their needs. The Ministry of Justice of Bosnia and Herzegovina participates in the work of the ReLOaD project as a member of the Partnership Committee for Bosnia and Herzegovina together with representatives of the Federal Ministry of Justice, the Ministry of Administration and Local Self-Government, the Association of Municipalities and Cities of the Federation of Bosnia and Herzegovina, the Association of Municipalities and Cities of the Republika Srpska and representatives of civil society. Follow the ReLOaD project on Facebook: RELOADWesternBalkans *This designation does not call into question the positions on status and is in accordance with Resolution UNSCR 1244 and the Opinion of the International Court of Justice on the Kosovo Declaration of Independence ReLOaD BiH infographic ReLOaD BiH infographic LOD methodology LOD methodology Publications ""Manual for non-governmental organizations in Bosnia and Herzegovina"" Promotional video „ReLOaD aktivnosti u 2018. godini“ “Zdrav kao dren!” “Minuta za lokalnu demokratiju - Stari romski zanati u Vitezu” “Minuta za lokalnu demokratiju - Mala škola ribolova“ “Minuta za lokalnu demokratiju - Jake žene , jaka lokalna zajednica“ “Minuta za lokalnu demokratiju - Ekologija i teatar u Travniku“ “Minuta za lokalnu demokratiju - Stanovanje uz podršku za osobe sa invaliditetom “Minuta za lokalnu demokratiju - Jačanje građanskog učešća",5215,0,False,text_extracted,False,not_relevant_enough,unknown_review_needed,4653a44d008c106dac14945da23e7bc9
